Item Number,Long Description,Short Description,Product Number,PriceOB,ALL,STMARIA,SALINA,WAREHOUSE,STMWH,REPAIR,RMA,ADJ_REPAIR,ADJ_RMA,Last Received Date,Last Sold Date,Cost,Price,Margin
5010261,Brother PTD220 Label Maker,PTD220,PTD220,139.99,0,0,0,0,0,0,0,0,0,2024-03-13,2025-02-25,83.17,132.07,37
5010262,Brother P-Touch QL-800,QL800,QL800,369.99,0,0,0,0,0,0,0,0,-1,2024-03-13,2025-06-13,231.51,349.05,33.7
5010263,Anker A25I Soundcore Earbud bk,A3948Z11AHZ,A3948Z11AHZ,69.99,0,0,0,0,0,0,0,0,-1,2025-04-23,2025-12-24,27.77,66.03,57.9
5010264,Xbox Core Wrls Controller Blk,1V8-00016,1V8-00016,159.99,0,0,0,0,0,0,0,0,0,2024-03-13,2024-12-24,100.19,150.93,33.6
5010265,Xbox Wrls Controller Green,QAU-00022-E,QAU-00022-E,159.99,0,0,0,0,0,0,0,0,0,2024-03-13,2024-10-29,104.95,150.93,30.5
5010266,ONN 2332A Google TV Full HD,2332A,2332A,69.99,0,0,0,0,0,0,0,0,0,2024-03-13,2024-06-29,39.74,66.03,39.8
5010268,Xbox Wrls Contr White,889842705645-W,889842705645-W,159.99,0,0,0,0,0,0,0,0,0,2024-03-13,2025-01-02,104.95,150.93,30.5
5010269,Sony PS5 Wrls Controll PR,711719546610-G,711719546610-G,189.99,0,0,0,0,0,0,0,0,0,2024-03-13,2025-03-10,124.04,179.24,30.8
5010270,Sony PS5 DualSense WH,711719541080,711719541080,189.99,0,0,0,0,0,0,0,0,0,2024-03-13,2025-06-06,126.45,179.24,29.5
5010271,Sony PS5 DualSense CAMO,1000039944,1000039944,209.99,0,0,0,0,0,0,0,0,0,2025-01-06,2026-03-26,139.34,198.1,29.7
5010272,JBL Quantum 50 Gaming HeadPhon,QUANTUM50WHTAM,QUANTUM50WHTAM-CB,59.99,0,0,0,0,0,0,0,0,-1,2024-03-13,2025-02-10,36.05,56.59,36.3
5010273,Sony PS5 DualSense PK,711719546603,711719546603,189.99,0,0,0,0,0,0,0,0,0,2024-03-13,2025-02-12,126.45,179.24,29.5
5010274,"AOC 22B3HM-B 21.5"" FHD Monitor",22B3HM,22B3HM,209.99,0,0,0,0,0,0,0,0,0,2024-03-13,2024-05-24,120.32,198.1,39.3
5010275,"HP P24V G5 23.8"" LED FHD Mon.",64W18A6#ABA,64W18A6#ABA,309.99,0,0,0,0,0,0,0,0,0,2024-03-13,2025-01-23,203.93,292.44,30.3
5010276,"MSI PRO MP241X 23.8"" FHD",PROMP241X,PROMP241X,279.99,0,0,0,0,0,0,0,0,0,2024-03-13,2024-10-31,163.12,264.14,38.2
5010277,"MSI G2712V 27"" FHD Monitor",G2712V,G2712V,429.99,0,0,0,0,0,0,0,0,0,2024-03-13,2025-08-18,244.71,405.65,39.7
5010278,JBL Partybox 110,JBLPARTYBOX110A,JBLPARTYBOX110AM,599,0,0,0,0,0,0,0,0,0,2024-03-13,2024-05-30,0.02,565.09,100
5010280,Linksys Hydra 6 Mesh WiFi 6 Ro,MR20EC,MR20EC,329.99,2,0,0,0,0,0,2,0,-2,2024-04-19,2026-03-30,212.55,311.31,31.7
5010281,"Samsung GalaxyTab A, 8"", BK",SM-T295NZKABKD,SM-T295NZKABKD,299.99,0,0,0,0,0,0,0,0,0,2024-03-13,2024-04-06,193.71,283.01,31.6
5010282,Generic USB Slot-loading DVDRW,USB3.0DVD-ROM,USB3.0DVD-ROM,69.99,0,0,0,0,0,0,0,0,0,2024-03-18,2024-05-28,41.07,66.03,37.8
